Date,Open,High,Low,Close,Adj Close,Volume
2020-10-20,2.038747,2.048570,1.963119,1.981031,1.981031,1776813
2020-10-21,1.980443,2.038017,1.957471,1.984003,1.984003,2510218
2020-10-22,1.984928,2.018564,1.982852,2.007186,2.007186,2271442
2020-10-23,2.007491,2.014684,1.958162,1.986498,1.986498,1322036
2020-10-24,1.986519,1.996809,1.974100,1.974656,1.974656,1057555
2020-10-25,1.974656,1.985095,1.946316,1.961439,1.961439,1167157
2020-10-26,1.961446,1.963360,1.886958,1.925395,1.925395,1481086
2020-10-27,1.925389,1.934494,1.888657,1.889090,1.889090,1116589
2020-10-28,1.889102,1.906040,1.743952,1.744607,1.744607,2284727
2020-10-29,1.744563,1.787584,1.695195,1.695207,1.695207,2287638
2020-10-30,1.695189,1.709635,1.598233,1.674177,1.674177,2001887
2020-10-31,1.674192,1.679183,1.617102,1.617662,1.617662,1854223
2020-11-01,1.617662,1.674860,1.610890,1.636228,1.636228,1446788
2020-11-02,1.636222,1.656362,1.553836,1.564630,1.564630,1775298
2020-11-03,1.564615,1.566354,1.514018,1.558568,1.558568,1234616
2020-11-04,1.558668,1.578297,1.501078,1.519714,1.519714,999428
2020-11-05,1.519721,1.544788,1.413124,1.427010,1.427010,2248010
2020-11-06,1.426960,1.690559,1.426960,1.649251,1.649251,3673888
2020-11-07,1.649251,1.783720,1.546853,1.553671,1.553671,3837294
2020-11-08,1.553669,1.565947,1.433061,1.443916,1.443916,4270251
2020-11-09,1.443919,1.608376,1.443919,1.581679,1.581679,1882229
2020-11-10,1.581663,1.628802,1.504442,1.615725,1.615725,2946329
2020-11-11,1.615986,1.930905,1.615986,1.737756,1.737756,10675510
2020-11-12,1.737759,1.753144,1.559177,1.660231,1.660231,3682402
2020-11-13,1.660239,1.770892,1.636303,1.746890,1.746890,1473422
2020-11-14,1.746890,1.781994,1.701461,1.736713,1.736713,915701
2020-11-15,1.736713,1.780977,1.667677,1.700037,1.700037,1397736
2020-11-16,1.700034,1.782277,1.627005,1.753263,1.753263,2059460
2020-11-17,1.762290,1.796194,1.743005,1.760007,1.760007,2181889
2020-11-18,1.759984,1.784463,1.697475,1.736112,1.736112,1864901
2020-11-19,1.736035,1.745350,1.682604,1.683412,1.683412,1450859
2020-11-20,1.683410,1.715279,1.678175,1.694447,1.694447,1753777
2020-11-21,1.694448,1.834234,1.686379,1.798353,1.798353,3993646
2020-11-22,1.798353,2.123699,1.737985,2.003866,2.003866,7927599
2020-11-23,2.003873,2.086329,1.886019,1.937038,1.937038,5524100
2020-11-24,1.938121,2.021777,1.911557,1.930845,1.930845,4745636
2020-11-25,1.930390,1.991950,1.877789,1.880282,1.880282,3322929
2020-11-26,1.879887,1.896923,1.707918,1.755278,1.755278,6772919
2020-11-27,1.756327,1.836023,1.751375,1.775293,1.775293,2133191
2020-11-28,1.777708,1.867929,1.764842,1.856740,1.856740,2297796
2020-11-29,1.858930,1.858930,1.781623,1.817560,1.817560,1465130
2020-11-30,1.816457,1.887953,1.800715,1.832714,1.832714,2251785
2020-12-01,1.833683,1.900163,1.808818,1.850805,1.850805,1305334
2020-12-02,1.846627,1.891386,1.792984,1.839412,1.839412,2191323
2020-12-03,1.840284,1.890640,1.817717,1.827066,1.827066,1628540
2020-12-04,1.827706,1.866832,1.754741,1.766110,1.766110,2187888
2020-12-05,1.759149,1.827323,1.749557,1.793034,1.793034,995242
2020-12-06,1.793446,1.834860,1.779893,1.793713,1.793713,1429828
2020-12-07,1.793615,1.816240,1.774076,1.780583,1.780583,878248
2020-12-08,1.780624,1.782125,1.678304,1.678402,1.678402,1364005
2020-12-09,1.678461,1.732933,1.606600,1.680645,1.680645,1954752
2020-12-10,1.680750,1.749172,1.412812,1.643247,1.643247,1355011
2020-12-11,1.641400,1.932644,1.611167,1.613875,1.613875,6974339
2020-12-12,1.613799,1.713593,1.612793,1.643360,1.643360,1956851
2020-12-13,1.643296,1.750322,1.621263,1.689513,1.689513,986775
2020-12-14,1.689032,1.773003,1.662538,1.687811,1.687811,2089601
2020-12-15,1.687816,1.721835,1.644080,1.650621,1.650621,1053164
2020-12-16,1.652960,1.819614,1.634502,1.671093,1.671093,4020103
2020-12-17,1.671976,1.702222,1.649671,1.655080,1.655080,2610903
2020-12-18,1.654713,1.705742,1.623414,1.642409,1.642409,1442622
2020-12-19,1.641933,1.667881,1.620032,1.637376,1.637376,1955552
2020-12-20,1.633651,1.652105,1.529080,1.583078,1.583078,2108918
2020-12-21,1.586914,1.691400,1.516227,1.569343,1.569343,4454063
2020-12-22,1.568806,1.696822,1.519857,1.539047,1.539047,3586798
2020-12-23,1.539427,1.552658,1.362058,1.367277,1.367277,2030674
2020-12-24,1.366899,1.492996,1.355889,1.459574,1.459574,1264437
2020-12-25,1.459331,1.484574,1.424272,1.448282,1.448282,828029
2020-12-26,1.445702,1.578201,1.396942,1.396942,1.396942,2048086
2020-12-27,1.396811,1.547411,1.396811,1.493322,1.493322,5451285
2020-12-28,1.490331,1.544782,1.434799,1.473561,1.473561,2123280
2020-12-29,1.473553,1.693637,1.448670,1.544873,1.544873,5475054
2020-12-30,1.545627,1.598741,1.493386,1.533465,1.533465,1547081
2020-12-31,1.533282,1.593785,1.477295,1.477610,1.477610,1307485
2021-01-01,1.477786,1.521021,1.449396,1.460152,1.460152,2059227
2021-01-02,1.460948,1.464806,1.382154,1.433678,1.433678,5387329
2021-01-03,1.432064,1.470206,1.373753,1.441996,1.441996,3813416
2021-01-04,1.442534,1.559680,1.426109,1.491074,1.491074,3568370
2021-01-05,1.491814,3.307635,1.491814,2.566105,2.566105,180787706
2021-01-06,2.580305,2.697859,2.204116,2.318526,2.318526,35249971
2021-01-07,2.317607,2.510518,2.132308,2.228179,2.228179,20795306
2021-01-08,2.217285,2.497367,2.003633,2.305266,2.305266,22151317
2021-01-09,2.301323,2.378401,2.156703,2.290433,2.290433,11891806
2021-01-10,2.285726,2.299855,2.099498,2.137049,2.137049,7856508
2021-01-11,2.138712,2.176058,1.745848,1.942140,1.942140,11287319
2021-01-12,1.942147,2.106129,1.861440,1.967083,1.967083,5222644
2021-01-13,1.967067,2.133063,1.903381,2.082140,2.082140,5414378
2021-01-14,2.086191,2.243871,2.060833,2.082837,2.082837,6672603
2021-01-15,2.080615,2.144121,1.954827,2.004318,2.004318,5976237
2021-01-16,2.002591,2.188411,2.001175,2.060460,2.060460,6979642
2021-01-17,2.061200,2.192162,2.023881,2.123617,2.123617,6152938
2021-01-18,2.123139,2.442813,2.082377,2.243218,2.243218,18052485
2021-01-19,2.242885,2.247485,2.158182,2.166437,2.166437,9115668
2021-01-20,2.168929,2.584305,2.116941,2.275218,2.275218,29766638
2021-01-21,2.277794,3.525017,2.224455,3.086174,3.086174,165713249
2021-01-22,3.091289,3.836404,2.808688,3.140725,3.140725,198798534
2021-01-23,3.147203,3.147203,2.714259,2.819638,2.819638,48095010
2021-01-24,2.822076,2.985921,2.708405,2.774877,2.774877,35521606
2021-01-25,2.783805,3.404836,2.775301,3.144441,3.144441,91695066
2021-01-26,3.138239,3.595548,3.048024,3.102555,3.102555,76240613
2021-01-27,3.101924,3.234544,2.763392,2.953139,2.953139,30302871
2021-01-28,2.949947,3.057553,2.856175,2.894951,2.894951,27458390
2021-01-29,2.988761,2.999205,2.848101,2.894871,2.894871,17647485
2021-01-30,2.893204,2.973933,2.854571,2.883434,2.883434,14471674
