Date,Open,High,Low,Close,Adj Close,Volume
2020-06-16,101.646278,102.151817,89.072433,93.198608,93.198608,25790
2020-06-17,93.266296,113.041061,61.593315,64.635643,64.635643,175376
2020-06-18,64.267029,176.594727,61.271271,148.669785,148.669785,1443325
2020-06-19,143.393402,241.837631,143.393402,224.545212,224.545212,2524624
2020-06-20,224.669312,264.110016,197.410858,258.911621,258.911621,2030189
2020-06-21,258.860596,381.887268,258.860596,337.047028,337.047028,5231225
2020-06-22,335.816864,340.782135,233.371429,280.383820,280.383820,3874898
2020-06-23,279.462860,351.649658,231.261978,244.307129,244.307129,14270537
2020-06-24,243.233780,245.620132,192.539215,209.818558,209.818558,12471939
2020-06-25,207.770493,245.483276,201.955994,230.972870,230.972870,29865095
2020-06-26,227.759079,267.074738,227.642532,261.412506,261.412506,27085665
2020-06-27,261.432037,262.954041,228.166275,231.860260,231.860260,17059562
2020-06-28,231.860260,251.283554,228.330399,243.885300,243.885300,12412915
2020-06-29,243.885300,245.170929,231.700836,233.120850,233.120850,67858922
2020-06-30,232.534775,245.143478,215.224030,216.817535,216.817535,132851148
2020-07-01,217.657898,219.317154,195.889847,196.179199,196.179199,164479766
2020-07-02,196.020859,197.700867,176.231567,177.272125,177.272125,231016434
2020-07-03,177.319595,182.238388,176.042679,177.034927,177.034927,121075952
2020-07-04,176.948227,190.884125,164.207855,180.418427,180.418427,35742627
2020-07-05,180.343521,214.155350,177.991257,207.323624,207.323624,160800981
2020-07-06,206.840118,206.840118,190.555740,194.813782,194.813782,54385801
2020-07-07,194.915604,194.915604,185.184906,186.151230,186.151230,154696110
2020-07-08,186.151230,187.870087,181.636078,184.584000,184.584000,74382380
2020-07-09,184.459900,187.986938,177.116272,180.537857,180.537857,66264297
2020-07-10,180.694733,180.848312,173.044785,175.504379,175.504379,61531023
2020-07-11,175.477570,184.180557,174.001297,178.008896,178.008896,61817291
2020-07-12,178.260834,183.060974,175.063293,175.919113,175.919113,59251349
2020-07-13,175.919113,178.104126,160.896744,165.683624,165.683624,58682876
2020-07-14,166.234772,166.672256,160.563660,163.781693,163.781693,39831101
2020-07-15,163.857010,167.165680,160.002487,160.446899,160.446899,23272285
